 (88.074219+0.000000j), (-63.931336+0.219885j), (-40.936959-8.747681j), (47.932932-0.398922j), (-1.504166-11.071092j), (-7.410393+4.893614j), (-40.936959+8.747681j), (15.364901-4.554502j), (-11.294292+22.306659j), (8.473369+0.473195j), (-26.785043-11.457479j), (47.932932+0.398922j), (15.941640-4.411798j), (-63.931336-0.219885j), (3.081145+5.967349j), (15.364901+4.554502j)
 (109.695312+0.000000j), (-73.177317-1.431628j), (-38.694813+5.691889j), (10.881005-14.135650j), (-50.408484+2.773250j), (21.303902+6.729632j), (-38.694813-5.691889j), (39.926132+0.646030j), (12.785792+24.729031j), (37.178069-16.695792j), (-20.614621-22.479672j), (10.881005+14.135650j), (24.845620+4.655307j), (-73.177317+1.431628j), (-0.715985-2.632427j), (39.926132-0.646030j)
 (115.828125+0.000000j), (-69.362494+4.415570j), (-46.602282+17.583245j), (39.215415-6.921774j), (-36.263049+41.286245j), (15.527459-9.716300j), (-46.602282-17.583245j), (16.152425-14.632945j), (22.046674+21.171732j), (15.335441-35.738659j), (-20.094674+8.728977j), (39.215415+6.921774j), (3.996801+4.740277j), (-69.362494-4.415570j), (17.020159-26.433900j), (16.152425+14.632945j)
 (96.535156+0.000000j), (-74.012619+7.745448j), (-38.569630+3.591273j), (42.992943-7.147390j), (-12.580086+2.396907j), (6.943919+0.718449j), (-38.569630-3.591273j), (15.479923-0.673224j), (2.258607-5.592408j), (7.787363-0.093088j), (-23.744565-7.057119j), (42.992943+7.147390j), (23.672504+9.383046j), (-74.012619-7.745448j), (7.212877-3.042108j), (15.479923+0.673224j)
 (110.289062+0.000000j), (-78.426143+6.427756j), (-36.789395+5.833520j), (35.535132-4.598146j), (-27.674107-10.478073j), (10.797676+15.261962j), (-36.789395-5.833520j), (15.131463-17.218422j), (-11.108908-18.352840j), (21.975231+9.165201j), (-4.321843+0.320822j), (35.535132+4.598146j), (22.476900+23.135524j), (-78.426143-6.427756j), (-1.703020-35.094004j), (15.131463+17.218422j)
 (128.007812+0.000000j), (-91.874199+2.703593j), (-39.275156+19.413306j), (27.770163-27.681247j), (-28.820445+49.673456j), (32.576999-25.896541j), (-39.275156-19.413306j), (39.704219-7.788889j), (20.097341+9.802150j), (0.098077-36.621722j), (-26.215283-10.029862j), (27.770163+27.681247j), (25.840272+8.638122j), (-91.874199-2.703593j), (-9.309612-30.669835j), (39.704219+7.788889j)
 (77.156250+0.000000j), (-61.882388-0.557753j), (-24.757404-0.170270j), (18.742366+0.476447j), (-22.423980-7.960950j), (16.957589+6.371478j), (-24.757404+0.170270j), (14.360411+1.500220j), (-25.798444-6.480930j), (25.451833+7.622645j), (0.890845+2.864889j), (18.742366-0.476447j), (25.396781-5.041291j), (-61.882388+0.557753j), (3.792299+5.805244j), (14.360411-1.500220j)
 (127.273438+0.000000j), (-85.960894+2.136396j), (-34.490602+8.620704j), (19.704491-10.928009j), (-36.663330+4.910582j), (26.109403+13.785758j), (-34.490602-8.620704j), (21.345138-12.435261j), (2.864660-17.645885j), (19.679886-2.766429j), (3.366448+0.563616j), (19.704491+10.928009j), (10.137524+9.708715j), (-85.960894-2.136396j), (6.477423-26.013416j), (21.345138+12.435261j)
 (109.089844+0.000000j), (-62.460842-10.995278j), (-31.660015-0.255250j), (23.208668+8.814924j), (-31.148030-2.866459j), (-1.035460-10.763196j), (-31.660015+0.255250j), (11.774832+8.751738j), (-21.052445-10.425294j), (36.758406+19.510582j), (17.816373+10.640831j), (23.208668-8.814924j), (-3.894041-12.980229j), (-62.460842+10.995278j), (-3.635663-0.074926j), (11.774832-8.751738j)
 (160.968750+0.000000j), (-63.038921+0.168567j), (-113.273270+5.162144j), (57.273442+13.514792j), (25.849108-9.585513j), (15.775915+16.749128j), (-113.273270-5.162144j), (23.298723-11.086104j), (-37.648407-43.494035j), (-16.206012+27.847033j), (46.445334+11.708827j), (57.273442-13.514792j), (-35.699154+21.090235j), (-63.038921-0.168567j), (20.245128-21.026809j), (23.298723+11.086104j)
 (225.226562+0.000000j), (-132.636356-11.549881j), (-85.434759-11.485021j), (103.712388-3.803680j), (-57.339101-35.475186j), (39.062840+1.793171j), (-85.434759+11.485021j), (-0.326594+8.703198j), (-0.506399+23.844980j), (13.609129+8.657244j), (-19.451947+2.054926j), (103.712388+3.803680j), (8.431013-26.694606j), (-132.636356+11.549881j), (10.981318+26.716086j), (-0.326594-8.703198j)
 (126.304688+0.000000j), (-53.586543-3.187256j), (-65.021573+15.456050j), (5.429272-21.342281j), (1.194710+32.106779j), (23.125422-8.951649j), (-65.021573-15.456050j), (16.227235+1.344832j), (-21.469999+32.639787j), (14.897790-46.618346j), (49.803077-12.108212j), (5.429272+21.342281j), (-23.433814-8.435126j), (-53.586543+3.187256j), (24.006824-3.771607j), (16.227235-1.344832j)
 (100.527344+0.000000j), (-75.759660-3.006500j), (-63.174069-4.155628j), (39.453455+10.424451j), (26.865010-23.656936j), (-10.814839+9.923665j), (-63.174069+4.155628j), (45.701376+7.787036j), (-5.788209-12.456004j), (-16.377752+27.766836j), (2.240709-3.171528j), (39.453455-10.424451j), (27.924039+11.091197j), (-75.759660+3.006500j), (-11.188110+5.702019j), (45.701376-7.787036j)
 (139.843750+0.000000j), (-101.001356+8.116216j), (-56.219439-1.906366j), (43.403510+6.559689j), (-33.446145+12.115505j), (35.920599-16.021151j), (-56.219439+1.906366j), (21.032783-0.934214j), (-41.314521-14.311625j), (36.767618-1.673292j), (-1.064959+22.795006j), (43.403510-6.559689j), (23.935668-0.679188j), (-101.001356-8.116216j), (23.942764+8.076031j), (21.032783+0.934214j)
 (114.253906+0.000000j), (-82.058400-1.859504j), (-42.797558-4.027769j), (40.044757+9.250572j), (-20.408496+5.181149j), (5.190795-9.211715j), (-42.797558+4.027769j), (20.498981+8.572239j), (-6.398132-10.494181j), (19.695100+6.309659j), (-9.778961+2.201673j), (40.044757-9.250572j), (15.507243-2.601934j), (-82.058400+1.859504j), (2.741385+11.622197j), (20.498981-8.572239j)
 (62.410156+0.000000j), (-49.007272-0.273050j), (-25.735535+0.221102j), (50.905118-0.674970j), (-11.771609-0.948693j), (10.320678-0.030678j), (-25.735535-0.221102j), (-1.980057+1.473393j), (26.076901-1.966496j), (-2.727113+2.564659j), (-55.078354-1.614997j), (50.905118+0.674970j), (19.267068-2.420340j), (-49.007272+0.273050j), (14.671885+2.126462j), (-1.980057-1.473393j)
 (97.207031+0.000000j), (-14.474155+2.111760j), (-36.579458+3.818827j), (15.970459-6.940486j), (-27.374373+13.014275j), (20.701694-12.455341j), (-36.579458-3.818827j), (-33.771760+10.808942j), (-29.840282+1.441047j), (27.938918-11.397525j), (34.977184-3.845091j), (15.970459+6.940486j), (-41.221219+2.082950j), (-14.474155-2.111760j), (22.680618+0.323000j), (-33.771760-10.808942j)
 (94.082031+0.000000j), (-61.924754+0.458593j), (-29.357704+3.150673j), (-3.118453-12.871908j), (-20.024318+11.772269j), (14.542311+5.426086j), (-29.357704-3.150673j), (45.807077-13.878943j), (8.163083-20.337613j), (9.288355+0.027533j), (5.047315+0.136718j), (-3.118453+12.871908j), (9.319888-6.867043j), (-61.924754-0.458593j), (-20.681584-11.248895j), (45.807077+13.878943j)
 (76.769531+0.000000j), (-44.917398+8.297215j), (-52.519248+0.503766j), (6.080362-12.423817j), (8.198166-4.125863j), (-32.880761+8.998346j), (-52.519248-0.503766j), (54.776177-2.370936j), (-7.401775-0.665614j), (20.982927-8.914693j), (6.880977-12.898733j), (6.080362+12.423817j), (10.111737+16.599472j), (-44.917398-8.297215j), (-20.097600-5.548040j), (54.776177+2.370936j)
 (145.339844+0.000000j), (-97.077282+12.483635j), (-47.378915+3.949586j), (52.697056-24.474463j), (-37.351422-14.923045j), (15.573250+34.649973j), (-47.378915-3.949586j), (14.754992-43.980386j), (-20.460901+13.317354j), (39.189504-20.995912j), (-13.387721-8.853178j), (52.697056+24.474463j), (18.790762+24.818729j), (-97.077282-12.483635j), (1.170668-48.400221j), (14.754992+43.980386j)
 (65.394531+0.000000j), (-52.206485+3.006486j), (-26.728075-0.633884j), (52.263749-1.264822j), (-11.681486+0.622651j), (9.763235-0.610025j), (-26.728075+0.633884j), (-1.225385+0.992825j), (24.475579+0.981182j), (-1.967566+0.121121j), (-57.765783-4.840117j), (52.263749+1.264822j), (22.357781+2.079191j), (-52.206485-3.006486j), (14.501621+3.552239j), (-1.225385-0.992825j)
 (90.628906+0.000000j), (-45.677028+4.867225j), (-41.688842-0.164803j), (-1.431884+0.645767j), (-16.078694+8.692542j), (19.865692-18.994922j), (-41.688842+0.164803j), (26.526201+6.991912j), (-14.122959+8.084672j), (24.007311-6.259006j), (35.227100-8.652155j), (-1.431884-0.645767j), (-20.649310+20.634142j), (-45.677028-4.867225j), (12.140289-1.785585j), (26.526201-6.991912j)
 (71.800781+0.000000j), (-53.940416-1.188382j), (-33.103057-9.044030j), (24.140169-8.444523j), (-11.749225-20.921214j), (8.691613+24.318235j), (-33.103057+9.044030j), (20.762066-11.308738j), (-14.422576+34.320486j), (15.489412-5.749467j), (-7.801737-28.328299j), (24.140169+8.444523j), (17.960917-0.408649j), (-53.940416+1.188382j), (2.837959-4.852924j), (20.762066+11.308738j)
 (71.250000+0.000000j), (-61.996720-5.442612j), (-37.516988-0.732667j), (28.657965+2.145539j), (4.016707-8.024487j), (-1.590574+5.000477j), (-37.516988+0.732667j), (31.494545+3.544017j), (-13.340872-1.696177j), (2.182640+7.826903j), (-9.880889-3.086683j), (28.657965-2.145539j), (39.510335-5.910465j), (-61.996720+5.442612j), (-15.009330+5.715031j), (31.494545-3.544017j)
 (111.457031+0.000000j), (-62.167837-9.819363j), (-64.719214+0.084829j), (75.302350+6.272064j), (3.756030+7.180266j), (6.188991-2.345193j), (-64.719214-0.084829j), (10.459268+16.618170j), (8.042959+7.547591j), (-21.097330+9.111294j), (-14.756466-3.443209j), (75.302350-6.272064j), (-3.473962-18.159280j), (-62.167837+9.819363j), (6.215102+3.699385j), (10.459268-16.618170j)
 (80.601562+0.000000j), (-47.715733-10.321677j), (-48.217417-4.256827j), (38.419077+3.719841j), (4.636337+2.915055j), (9.802882-16.426004j), (-48.217417+4.256827j), (13.926994+13.991952j), (-16.549760+23.495609j), (-11.716028-1.141709j), (7.885318-2.744427j), (38.419077-3.719841j), (4.925450-19.458999j), (-47.715733+10.321677j), (5.265554+16.613792j), (13.926994-13.991952j)
 (87.859375+0.000000j), (-62.914222-4.897876j), (-35.037610-13.948360j), (35.059265+1.617242j), (-6.768633-33.647383j), (3.587667+12.161816j), (-35.037610+13.948360j), (8.743072-9.195103j), (-23.158253+10.137925j), (17.341748+27.217187j), (-17.648057-23.684169j), (35.059265-1.617242j), (15.818733-1.838269j), (-62.914222+4.897876j), (16.734175-4.654018j), (8.743072+9.195103j)
 (78.515625+0.000000j), (-44.762125+5.252959j), (-46.315346+1.952945j), (46.272609-9.375888j), (-7.273470-9.555563j), (10.970741+16.483780j), (-46.315346-1.952945j), (8.897419-9.319980j), (-6.009484-0.009883j), (-9.544932-4.402223j), (-3.538969+1.612461j), (46.272609+9.375888j), (2.531943+4.212461j), (-44.762125-5.252959j), (-0.163415-14.034557j), (8.897419+9.319980j)
 (81.859375+0.000000j), (-65.797102+3.299576j), (-42.081059+2.508016j), (31.248675-2.643703j), (-5.734641+6.879112j), (13.088615-9.673619j), (-42.081059-2.508016j), (30.724138+3.181714j), (-10.066552+2.770859j), (3.824476-3.183566j), (-1.402781-4.740640j), (31.248675+2.643703j), (28.187572+6.106806j), (-65.797102-3.299576j), (-9.660152+2.682326j), (30.724138-3.181714j)
 (116.074219+0.000000j), (-61.207779-3.358440j), (-38.485439+7.021074j), (52.609442-15.239756j), (-31.280871+11.174132j), (7.732430+9.417416j), (-38.485439-7.021074j), (-3.900139-17.756755j), (-4.409888+36.426357j), (22.258047-44.472575j), (-5.276830-6.291951j), (52.609442+15.239756j), (-11.579581+3.835112j), (-61.207779+3.358440j), (6.207951-9.795947j), (-3.900139+17.756755j)
 (61.234375+0.000000j), (-47.241004+3.923606j), (-25.814826-1.697481j), (50.763428-2.894813j), (-10.135973-1.123440j), (7.617414-1.744606j), (-25.814826+1.697481j), (-1.024263+1.603014j), (27.935409-0.528667j), (-4.391157+4.905353j), (-53.104943-9.251321j), (50.763428+2.894813j), (18.055171-0.637529j), (-47.241004-3.923606j), (11.225442+5.359106j), (-1.024263-1.603014j)
 (82.109375+0.000000j), (-53.843294-2.808873j), (-28.171368-18.368853j), (3.150804+3.905424j), (-15.585429-42.003553j), (4.413037+20.777073j), (-28.171368+18.368853j), (17.230213-1.521331j), (-20.591861+2.449894j), (28.683207+27.050830j), (19.294984-31.478567j), (3.150804-3.905424j), (9.191982+9.459550j), (-53.843294+2.808873j), (10.305505+11.618871j), (17.230213+1.521331j)
 (79.386719+0.000000j), (-65.232841-4.623289j), (-29.605883-13.554603j), (13.627598-1.504400j), (-17.643865-31.288979j), (4.974001+37.375262j), (-29.605883+13.554603j), (33.427830-8.470554j), (-9.769883+5.027440j), (18.732197+9.936169j), (-4.999762-25.841150j), (13.627598+1.504400j), (37.715726+4.120738j), (-65.232841+4.623289j), (-16.145838+1.720263j), (33.427830+8.470554j)
 (125.242188+0.000000j), (-63.044141+8.265193j), (-46.261768+23.148007j), (48.376717-14.856362j), (-21.137090+57.839896j), (19.150281-32.117189j), (-46.261768-23.148007j), (-16.439105+6.529179j), (-19.151685+16.226955j), (6.499246-50.440685j), (11.636607+5.775329j), (48.376717+14.856362j), (-15.915147+6.312285j), (-63.044141-8.265193j), (27.122428-2.733383j), (-16.439105-6.529179j)
 (52.078125+0.000000j), (-39.721928+3.327451j), (-20.071489+1.528080j), (42.454789-7.144296j), (-10.743394-0.432050j), (5.413865-1.500148j), (-20.071489-1.528080j), (-2.452775+3.834910j), (22.393491+4.591793j), (-1.057407+2.606121j), (-44.775290-13.171835j), (42.454789+7.144296j), (15.452375-2.157568j), (-39.721928-3.327451j), (8.419443+5.921809j), (-2.452775-3.834910j)
 (51.425781+0.000000j), (-45.524357-1.144393j), (-21.300391-0.736810j), (36.890535+1.911573j), (-9.744677+0.223071j), (9.523018+1.638461j), (-21.300391+0.736810j), (4.609617-1.806138j), (9.719930+2.155684j), (2.654234-2.230596j), (-44.819438+4.365365j), (36.890535-1.911573j), (30.573358-0.263887j), (-45.524357+1.144393j), (6.755197-3.836243j), (4.609617+1.806138j)
 (99.117188+0.000000j), (-80.259392+9.519425j), (-26.852052-7.575971j), (25.182877-20.084473j), (-31.596296-16.471786j), (27.496467+22.336950j), (-26.852052+7.575971j), (16.812632-13.283619j), (-7.470324+15.961889j), (20.334669-1.044142j), (-16.871284-48.337727j), (25.182877+20.084473j), (39.878984+15.974479j), (-80.259392-9.519425j), (0.817082-0.637453j), (16.812632+13.283619j)
 (71.238281+0.000000j), (-33.262980+3.616814j), (-49.621705-4.392312j), (35.434955-0.711187j), (18.282953-0.015233j), (-5.239860-11.403075j), (-49.621705+4.392312j), (14.593052+9.933534j), (-18.450887+12.062120j), (-15.050961+14.459241j), (16.752241-19.882770j), (35.434955+0.711187j), (-5.832771+1.547211j), (-33.262980-3.616814j), (-5.381434+8.830889j), (14.593052-9.933534j)
 (140.441406+0.000000j), (-84.617436-0.702478j), (-61.461836+10.283982j), (35.657042+17.366214j), (1.350513+39.217239j), (-4.090602-12.441865j), (-61.461836-10.283982j), (28.687406+15.295112j), (-31.056215-9.112102j), (23.508754-21.088920j), (7.707287+36.000837j), (35.657042-17.366214j), (-6.194494-10.597795j), (-84.617436+0.702478j), (17.409021+5.808147j), (28.687406-15.295112j)
 (136.617188+0.000000j), (-81.663849-5.240230j), (-41.029825+4.546668j), (32.876011-7.061104j), (-52.959776-0.459979j), (47.967437+9.815265j), (-41.029825-4.546668j), (-0.050891-10.525681j), (-39.498332-1.277937j), (42.144486-6.364089j), (19.230281+5.417657j), (32.876011+7.061104j), (-10.884947-0.764764j), (-81.663849+5.240230j), (30.821083-14.953106j), (-0.050891+10.525681j)
 (153.371094+0.000000j), (-104.606499+8.561811j), (-80.319412+2.629680j), (35.524025-0.254430j), (-8.783904-8.742029j), (24.286507-3.758632j), (-80.319412-2.629680j), (60.801979+8.973108j), (-16.814839+6.471757j), (11.270119+8.306578j), (25.479539-10.816215j), (35.524025+0.254430j), (12.087208+25.039457j), (-104.606499-8.561811j), (-8.755681+1.701604j), (60.801979-8.973108j)
 (73.542969+0.000000j), (-57.167704+1.049245j), (-22.738302-9.550537j), (7.152613-8.054142j), (-21.960471-23.233909j), (7.068594+24.776762j), (-22.738302+9.550537j), (24.035761-4.181016j), (-12.006008+4.170102j), (22.334266+4.184651j), (-1.893234-31.589040j), (7.152613+8.054142j), (30.949011+16.379777j), (-57.167704-1.049245j), (-3.446496+1.149950j), (24.035761+4.181016j)
 (64.261719+0.000000j), (-62.390072+5.009156j), (-24.790029-0.333786j), (24.025692-2.165296j), (-11.793852-3.474479j), (12.550814+3.385682j), (-24.790029+0.333786j), (23.898688-2.534067j), (-9.309050-2.580385j), (10.652317+3.168871j), (-21.673829-4.466703j), (24.025692+2.165296j), (57.025373+9.163178j), (-62.390072-5.009156j), (-21.530010-4.009401j), (23.898688+2.534067j)
 (119.937500+0.000000j), (-56.315735-12.631872j), (-69.482634-6.950538j), (74.711805+11.224740j), (3.986255+4.732926j), (9.067587-16.156902j), (-69.482634+6.950538j), (0.784217+17.115006j), (4.490898+24.159104j), (-22.552062+7.653777j), (-2.881366+1.642057j), (74.711805-11.224740j), (-13.965337-17.167797j), (-56.315735+12.631872j), (14.956708+3.459229j), (0.784217-17.115006j)
 (147.707031+0.000000j), (-44.398256-1.010075j), (-45.433628-2.960340j), (-23.702312+8.350821j), (-50.845484+6.814598j), (57.118432-7.689059j), (-45.433628+2.960340j), (-4.913504-4.357098j), (5.698792+7.728274j), (40.080131-2.141162j), (40.305927+8.539642j), (-23.702312-8.350821j), (-49.148032-13.808204j), (-44.398256+1.010075j), (55.681741+9.391874j), (-4.913504+4.357098j)
 (119.222656+0.000000j), (-76.586033-2.270507j), (-67.655937+0.332124j), (25.912928-3.382238j), (11.621270-12.588461j), (-17.707481-9.462548j), (-67.655937-0.332124j), (47.926289+19.064121j), (-18.110686+7.570498j), (15.793147+17.057716j), (19.486305-35.985993j), (25.912928+3.382238j), (8.023192+13.447443j), (-76.586033+2.270507j), (-0.656980+22.273436j), (47.926289-19.064121j)
 (130.656250+0.000000j), (-95.911588+1.260468j), (-36.823450+0.442536j), (3.773264-6.241750j), (-34.952420-6.706769j), (22.139910+6.529534j), (-36.823450-0.442536j), (54.937059+0.345661j), (13.259755-20.742220j), (14.634008+10.970399j), (3.019150-6.477900j), (3.773264+6.241750j), (31.007298+11.099633j), (-95.911588-1.260468j), (-27.996863-2.786887j), (54.937059-0.345661j)
 (67.480469+0.000000j), (-46.873181-2.405955j), (-28.185095-1.428119j), (0.658600+7.946270j), (-4.861716+1.469275j), (2.710962-10.650521j), (-28.185095+1.428119j), (35.138382+10.071212j), (-8.445215+11.551051j), (10.435095-3.046040j), (20.476205-0.245810j), (0.658600-7.946270j), (5.660395+7.966544j), (-46.873181+2.405955j), (-18.463850+6.691919j), (35.138382-10.071212j)
 (107.558594+0.000000j), (-88.508677-5.793344j), (-38.728174+1.072048j), (44.779813+1.743992j), (-25.582112-7.552930j), (18.423515-1.404021j), (-38.728174-1.072048j), (18.679496+9.942390j), (-8.332371-3.005145j), (19.626460+9.246144j), (-29.412207-0.404764j), (44.779813-1.743992j), (44.492212-10.304527j), (-88.508677+5.793344j), (-1.413828+18.460074j), (18.679496-9.942390j)
 (112.687500+0.000000j), (-67.249141+2.356414j), (-39.758372-15.286667j), (45.646383-28.326769j), (-27.017194-39.271258j), (4.675013+24.468053j), (-39.758372+15.286667j), (9.512540-18.947471j), (-6.043465+42.602998j), (20.051587-1.239820j), (-30.401608-49.138374j), (45.646383+28.326769j), (0.515498+7.380634j), (-67.249141-2.356414j), (11.567590-3.528258j), (9.512540+18.947471j)
 (101.644531+0.000000j), (-81.042436+9.069549j), (-29.425917+11.717416j), (39.744890-2.742733j), (-27.570080+13.245474j), (20.324772-23.976285j), (-29.425917-11.717416j), (12.709009+16.863435j), (13.820036-14.212767j), (12.028885+4.064402j), (-33.791794+4.090811j), (39.744890+2.742733j), (34.863669+8.809981j), (-81.042436-9.069549j), (-1.381381+14.510139j), (12.709009-16.863435j)
 (84.535156+0.000000j), (-39.528543+3.183558j), (-25.902918+6.807778j), (24.935105-6.069499j), (-19.857358+20.482948j), (18.245321-6.634201j), (-25.902918-6.807778j), (-14.320081-7.322045j), (-17.511365+8.313598j), (5.296815-18.262046j), (20.116099-14.115516j), (24.935105+6.069499j), (-14.521061+14.625341j), (-39.528543-3.183558j), (12.517618-7.119703j), (-14.320081+7.322045j)
 (76.085938+0.000000j), (-62.957288-5.961522j), (-35.038844-4.273204j), (35.564808+1.450790j), (-1.259640-11.059915j), (-8.692401+11.158330j), (-35.038844+4.273204j), (23.363265-4.421116j), (-21.354724+16.148849j), (13.962252-0.178990j), (-24.490110-2.980319j), (35.564808-1.450790j), (32.084821-6.982027j), (-62.957288+5.961522j), (-7.617662-2.148255j), (23.363265+4.421116j)
 (81.468750+0.000000j), (-59.574484+4.560580j), (-31.548469+16.297437j), (38.737947-4.868117j), (-13.146286+35.106440j), (11.766702-26.339286j), (-31.548469-16.297437j), (7.367823+4.347333j), (23.403155+6.362822j), (-5.793590-23.580284j), (-28.584140+7.986871j), (38.737947+4.868117j), (19.062453+12.185129j), (-59.574484-4.560580j), (14.593805-14.923017j), (7.367823-4.347333j)
 (99.617188+0.000000j), (-82.550390-5.015171j), (-50.316286-7.657137j), (44.821911+8.712440j), (-1.359593-16.761776j), (10.171840+3.547781j), (-50.316286+7.657137j), (30.475620+2.730152j), (-10.386349-6.260481j), (3.108169+19.858176j), (-22.571003-6.336008j), (44.821911-8.712440j), (45.233174-0.479583j), (-82.550390+5.015171j), (0.384425+8.508750j), (30.475620-2.730152j)
 (241.003906+0.000000j), (-134.241617+9.787958j), (-81.101935-11.203420j), (94.076983-1.068652j), (-75.304089+3.282078j), (19.977882-17.291540j), (-81.101935+11.203420j), (12.848933+6.270361j), (16.615389+14.299996j), (29.714152-1.893025j), (-4.672940-7.096787j), (94.076983+1.068652j), (-11.176225-4.445043j), (-134.241617-9.787958j), (-7.183901+14.781043j), (12.848933-6.270361j)
 (101.773438+0.000000j), (-78.301290+7.705687j), (-44.493291+14.757428j), (30.719864+1.768449j), (-7.092413+38.123515j), (-6.491691-33.991129j), (-44.493291-14.757428j), (35.307060+17.868664j), (-33.184304-13.247122j), (25.821351-16.064232j), (-9.661005+21.283357j), (30.719864-1.768449j), (27.964076+5.205614j), (-78.301290-7.705687j), (-8.639077+12.007797j), (35.307060-17.868664j)
 (89.582031+0.000000j), (-58.565858-7.777222j), (-42.432059-11.678129j), (55.340383+4.364718j), (-6.004587-16.697074j), (8.707701-1.270490j), (-42.432059+11.678129j), (5.709818-8.268560j), (8.712349+25.931427j), (-2.641288+3.985468j), (-28.901699-0.485281j), (55.340383-4.364718j), (2.158545-10.796634j), (-58.565858+7.777222j), (15.197736+4.346652j), (5.709818+8.268560j)
